store_nbr,family,date,sales,onpromotion
1,SEAFOOD,2013-01-02,38.029,0
1,SEAFOOD,2013-01-03,17.366001,0
1,SEAFOOD,2013-01-04,29.907001,0
1,SEAFOOD,2013-01-05,24.842,0
1,SEAFOOD,2013-01-06,5.0,0
1,SEAFOOD,2013-01-07,4.0,0
1,SEAFOOD,2013-01-08,30.767,0
1,SEAFOOD,2013-01-09,33.42,0
1,SEAFOOD,2013-01-10,26.2,0
1,SEAFOOD,2013-01-11,37.231,0
1,SEAFOOD,2013-01-12,26.913,0
1,SEAFOOD,2013-01-13,14.146,0
1,SEAFOOD,2013-01-14,33.397,0
1,SEAFOOD,2013-01-15,23.085,0
1,SEAFOOD,2013-01-16,37.913002,0
1,SEAFOOD,2013-01-17,19.853,0
1,SEAFOOD,2013-01-18,30.970001,0
1,SEAFOOD,2013-01-19,17.52,0
1,SEAFOOD,2013-01-20,19.243,0
1,SEAFOOD,2013-01-21,29.333,0
1,SEAFOOD,2013-01-22,18.955,0
1,SEAFOOD,2013-01-23,38.097,0
1,SEAFOOD,2013-01-24,25.198,0
1,SEAFOOD,2013-01-25,31.358,0
1,SEAFOOD,2013-01-26,33.465,0
1,SEAFOOD,2013-01-27,6.391,0
1,SEAFOOD,2013-01-28,22.292,0
1,SEAFOOD,2013-01-29,15.4140005,0
1,SEAFOOD,2013-01-30,27.467,0
1,SEAFOOD,2013-01-31,25.86,0
1,SEAFOOD,2013-02-01,32.779,0
1,SEAFOOD,2013-02-02,29.006,0
1,SEAFOOD,2013-02-03,15.372,0
1,SEAFOOD,2013-02-04,23.992,0
1,SEAFOOD,2013-02-05,25.782,0
1,SEAFOOD,2013-02-06,29.539001,0
1,SEAFOOD,2013-02-07,16.476,0
1,SEAFOOD,2013-02-08,41.82,0
1,SEAFOOD,2013-02-09,13.227,0
1,SEAFOOD,2013-02-10,9.642,0
1,SEAFOOD,2013-02-11,5.0,0
1,SEAFOOD,2013-02-12,11.296,0
1,SEAFOOD,2013-02-13,32.689,0
